PredictedValue,PredictionConfidencePercentage,PredictionGroup,CREDIT_SCORE,AGE,BALANCE,HAS_ZERO_BALANCE,PRODUCTS_NUMBER,ACTIVE_MEMBER,GENDER,CUSTOMER_ID,AGE_SQ,AGE_GROUP,TENURE,TENURE_SQ,TENURE_GROUP,BALANCE_SALARY_RATIO,PRODUCT_SEGMENT,CREDIT_CARD,CREDIT_TIER,HEALTH_SCORE,AGE_TENURE_INTERACTION,ESTIMATED_SALARY,CHURN
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,687,38,122570.87,0,1,1,Male,15677871,1444,2,9,81,3,3.4421,1,1,3,74.87,109,35608.88,0
0,0.704214964971098,AGE <= 32.8,686,25,0,1,2,1,Male,15642004,625,1,1,1,1,0,2,0,3,58.86,22.5,16459.37,0
0,0.657629512881395,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,789,39,124828.46,0,2,1,Male,15712543,1521,2,7,49,3,1.0034,2,1,4,71.89,89.5,124411.08,0
0,0.606493096836995,PRODUCTS_NUMBER > 1.0 AND PRODUCTS_NUMBER <= 2.0;TENURE <= 1.0,589,50,144895.05,0,2,1,Female,15584518,2500,3,5,25,3,4.1468,2,1,2,65.89,75,34941.23,0
0,0.681894912084714,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,461,34,63663.93,0,1,1,Female,15802381,1156,2,5,25,3,0.3794,1,0,1,64.61,67,167784.28,0
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,637,40,133463.1,0,1,1,Male,15610156,1600,2,2,4,2,1.4325,1,0,2,60.37,40,93165.34,0
1,0.727367698389599,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,584,48,213146.2,0,1,0,Female,15594408,2304,2,2,4,2,2.8359,1,1,2,9.84,44,75161.25,1
0,0.657629512881395,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,579,35,129490.36,0,2,1,Female,15640905,1225,2,1,1,1,15.0731,2,0,1,57.79,27.5,8590.83,1
1,0.713379585256645,AGE > 40.2;ACTIVE_MEMBER <= 0.0,756,44,137452.09,0,1,0,Male,15698932,1936,2,10,100,3,0.7252,1,1,4,27.56,122,189543.9,0
0,0.70963501917164,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,663,34,0,1,2,1,Male,15724944,1156,2,7,49,3,0,2,1,2,70.63,87,180427.24,0
